"strike_binary","employer","industry","address","city","state","zip_code","approximate_number_of_participants","duration_amount","authorized","worker_demands","time_to_work","hh_total","hh_low_income","population","old","hh_low_income_prop","old_prop","old_prop_high","income_q","ed_total","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q","geometry"
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","Stranahan’s Distillery - Proximo Spirits","Manufacturing","200 S Kalamath St","Denver","Colorado","80223",NA,1,"MISSING","Pay",308508,334942,18386,713252,88638,0.0548930859671227,0.124273047955,0,3,525770,286887,0.402223898425802,0,0.570532742453925,1,c(-104.9986722, 39.712484)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","MISSING","Health Care and Social Assistance","1115 Truxtun Ave","Bakersfield","California","93301",200,1,"MISSING","Pay",340730,283510,15622,916108,108035,0.055102112800254,0.117928235535548,0,3,562332,514064,0.561139079671829,1,0.19041598201774,1,c(-119.0148956, 35.3726507)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Westmoreland Manor - Westmoreland County","Health Care and Social Assistance","2480 S Grande Blvd","Greensburg","Pennsylvania","15601",NA,1,"MISSING","Pay",149288,156132,6425,352057,86332,0.0411510772935721,0.245221654448001,1,2,262804,29178,0.0828786247681483,0,0.326931857962588,4,c(-79.5577098, 40.2716434)
"0","Santa Cruz County Animal Shelter","Public Administration","1001 Rodriguez St","Santa Cruz","California","95062",30,1,"MISSING","Pay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-121.9889409, 36.9819049)
"0","University of Massachusetts Amherst","Educational Services","1 Campus Center Way","Amherst","Massachusetts","01003",NA,1,"MISSING","Pay",66914,62178,4344,162588,31562,0.0698639390137991,0.194122567471154,1,4,101614,28155,0.17316776145841,0,0.53011396067471,2,c(-72.5290998, 42.3912006)
